session people time duration ID_full ID noHp flow id_flow id_flow_full
1.FA1 Jeanne 1210.646 16.319 1.FA1.09 9 2 1 9_2_1 1.FA1.09_2_1
1.FA1 Jeanne 1228.054 4.71299999999997 1.FA1.10 10 2 2 10_2_2 1.FA1.10_2_2
1.FA1 Jeanne 1255.958 7.25199999999995 1.FA1.07 7 1 2 7_1_2 1.FA1.07_1_2
1.FA1 Jeanne 1264.299 11.9670000000001 1.FA1.01 1 1 NR 1_1_NR 1.FA1.01_1_NR
1.FA1 Jeanne 1282.795 5.43899999999985 1.FA1.10 10 1 5 10_1_5 1.FA1.10_1_5
1.FA1 Jeanne 1290.027 2.53800000000001 1.FA1.10 10 1 7 10_1_7 1.FA1.10_1_7
1.FA1 Jeanne 1292.566 1.44899999999984 1.FA1.10 10 3 1 10_3_1 1.FA1.10_3_1
1.FA1 Jeanne 1294.016 3.98899999999981 1.FA1.10 10 3 2 10_3_2 1.FA1.10_3_2
1.FA1 Jeanne 1299.094 3.625 1.FA1.06 6 2 4 6_2_4 1.FA1.06_2_4
1.FA1 Jeanne 1302.72 2.90099999999984 1.FA1.06 6 2 2 6_2_2 1.FA1.06_2_2
1.FA1 Jeanne 1313.238 3.26299999999992 1.FA1.06 6 2 4 6_2_4 1.FA1.06_2_4
1.FA1 Jeanne 1316.502 1.81200000000013 1.FA1.06 6 2 5 6_2_5 1.FA1.06_2_5
1.FA1 Jeanne 1320.854 9.42799999999988 1.FA1.06 6 3 4 6_3_4 1.FA1.06_3_4
1.FA1 Jeanne 1330.283 4.35100000000011 1.FA1.06 6 1 7 6_1_7 1.FA1.06_1_7
1.FA1 Jeanne 1334.635 2.17499999999995 1.FA1.06 6 1 5 6_1_5 1.FA1.06_1_5
1.FA1 Jeanne 1340.075 6.52700000000004 1.FA1.01 1 2 4 1_2_4 1.FA1.01_2_4
1.FA1 Jeanne 1346.603 3.98799999999983 1.FA1.01 1 2 1 1_2_1 1.FA1.01_2_1
1.FA1 Jeanne 1350.592 12.671 1.FA1.01 1 2 NR 1_2_NR 1.FA1.01_2_NR
1.FA1 Jeanne 1363.264 5.43900000000008 1.FA1.06 6 2 1 6_2_1 1.FA1.06_2_1
1.FA1 Jeanne 1375.232 4.71399999999994 1.FA1.09 9 2 3 9_2_3 1.FA1.09_2_3
1.FA1 Jeanne 1381.035 3.98799999999983 1.FA1.01 1 2 3 1_2_3 1.FA1.01_2_3
1.FA1 Jeanne 1385.024 4.35200000000009 1.FA1.01 1 2 NR 1_2_NR 1.FA1.01_2_NR
1.FA1 Jeanne 1394.091 5.05600000000004 1.FA1.08 8 3 3 8_3_3 1.FA1.08_3_3
1.FA1 Jeanne 1402.411 4.79899999999998 1.FA1.04 4 3 1 4_3_1 1.FA1.04_3_1
1.FA1 Jeanne 1417.238 29.375 1.FA1.01 1 1 NR 1_1_NR 1.FA1.01_1_NR
1.FA1 Jeanne 1449.152 12.3299999999999 1.FA1.06 6 2 1 6_2_1 1.FA1.06_2_1
1.FA1 Jeanne 1462.934 6.16399999999999 1.FA1.02 2 1 3 2_1_3 1.FA1.02_1_3
1.FA1 Jeanne 1470.912 4.71499999999992 1.FA1.05 5 3 NR 5_3_NR 1.FA1.05_3_NR
1.FA1 Jeanne 1475.628 8.33899999999994 1.FA1.05 5 2 2 5_2_2 1.FA1.05_2_2
1.FA1 Jeanne 1483.968 5.077 1.FA1.05 5 1 9 5_1_9 1.FA1.05_1_9
1.FA1 Jeanne 1491.222 3.98800000000006 1.FA1.05 5 1 5 5_1_5 1.FA1.05_1_5
