offspring_id known_id candidate_id
1.FO1.01_H1_R2_01 1.FO1.01 1.FO1.02
1.FO1.01_H1_R2_02 1.FO1.01 1.FO1.02
1.FO1.01_H1_R2_03 1.FO1.01 1.FO1.02
1.FO1.01_H1_R2_04 1.FO1.01 1.FO1.02
1.FO1.01_H1_R3_01 1.FO1.01 1.FO1.02
1.FO1.01_H1_R3_02 1.FO1.01 1.FO1.03
1.FO1.01_H2_R1_01 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_02 1.FO1.01 1.FO1.07
1.FO1.01_H2_R1_03 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_04 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_05 1.FO1.01 1.FO1.07
1.FO1.01_H2_R1_06 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_07 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_08 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_09 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_10 1.FO1.01 1.FO1.01
1.FO1.01_H2_R1_11 1.FO1.01 1.FO1.01
1.FO1.01_H2_R3_01 1.FO1.01 1.FO1.01
1.FO1.01_H2_R3_02 1.FO1.01 1.FO1.02
1.FO1.01_H2_R4_01 1.FO1.01 1.FO1.07
1.FO1.01_H3_R1_01 1.FO1.01 1.FO1.02
1.FO1.02_H1_R1_02 1.FO1.02 1.FO1.07
1.FO1.02_H1_R1_03 1.FO1.02 1.FO1.06
1.FO1.02_H1_R1_04 1.FO1.02 1.FO1.01
1.FO1.02_H1_R1_05 1.FO1.02 1.FO1.01
1.FO1.02_H1_R3_01 1.FO1.02 1.FO1.04
1.FO1.02_H2_R1_01 1.FO1.02 1.FO1.09
1.FO1.02_H2_R2_01 1.FO1.02 1.FO1.08
1.FO1.02_H2_R2_02 1.FO1.02 1.FO1.04
1.FO1.02_H2_R3_01 1.FO1.02 1.FO1.04
1.FO1.02_H2_R3_02 1.FO1.02 1.FO1.06
1.FO1.02_H3_R2_01 1.FO1.02 1.FO1.08
1.FO1.02_H3_R3_01 1.FO1.02 1.FO1.07
1.FO1.03_H1_R1_01 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_02 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_03 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_04 1.FO1.03 1.FO1.05
1.FO1.03_H1_R1_05 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_06 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_07 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_08 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_09 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_10 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_11 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_12 1.FO1.03 1.FO1.03
1.FO1.03_H1_R1_13 1.FO1.03 1.FO1.03
